days_to_detection,t_latent,t_incubation,t_post_incubation,tested_positive,expressed_symptoms,time_removed,symptomatic,vaccinated,FoI
3.5,0.1,3.53452742467644,7.18548339546487,0,1,862.8,1,0,0.000456830293137131
5.9,0.1,6.39110969372881,7.37047661044388,1,0,2334,0,0,1.34740019025785e-10
6.09999999999999,0.1,6.63453695802409,6.32213993819945,1,0,3288,1,0,0.570718309931539
7.99999999999999,0.1,8.00113139644589,6.32329731963717,0,1,3953.7,1,0,4.34873672540469e-08
5.2,0.1,8.25160463318009,5.04385036690225,1,0,4382,0,0,0.00671615345146103
4.9,0.1,6.35266720758484,9.67443137959613,1,0,4632,0,0,5.47734711434638
6.39999999999999,0.1,4.07612819777027,9.11740982652146,1,0,5967,0,0,1.85991038658438e-10
5.5,0.1,6.61869706527661,8.30219516087021,1,0,6332,1,0,0.19700191296958
6.19999999999999,0.1,9.25463776258697,8.99892928619077,1,0,6900,1,0,3.76538784819786e-08
4.3,0.1,5.67321316601807,5.40606431443883,1,0,7635,1,0,0.00112538847086644
4.3,0.1,7.82016693222502,6.50867013251808,1,0,7918,1,0,1.15025879723876e-31
5.99999999999999,0.1,6.6844157459314,6.46619708343987,1,0,9534,1,0,0.0184702265917013
5.8,0.1,4.30649528675741,5.50155499814388,1,0,9788,0,0,15.7484028594721
5.7,0.1,5.48156583898654,7.1274771853342,1,0,9789,0,0,0.293349363749935
3.9,0.1,5.4311044929621,5.34771207621121,1,0,9791,0,0,0.663007498136743
5.2,0.1,6.25303315555151,9.46123024606699,1,0,9792,1,0,0.0928562091351756
5.2,0.1,4.53634089358105,6.93496589657434,1,0,9891,0,0,9.15533381796151e-23
3,0.1,2.09127290159389,9.95706773633815,1,0,11036,0,0,1.91372561112237e-07
3.5,0.1,1.92447231189439,8.55454651220792,1,0,11277,0,0,1.73779346149586e-10
6.29999999999999,0.1,4.18770485674059,7.98578562630178,1,0,12344,0,0,0.359412909014566
7.99999999999999,0.1,3.70476420721099,8.5675366079065,1,0,12697,0,0,3.39857468967798
6.09999999999999,0.1,8.03735828606479,9.50091909544016,1,0,12700,1,0,0.283672625514956
4.8,0.1,6.90450287165239,5.78402846896807,1,0,15201,1,0,0.567123586338824
4.7,0.1,3.11135684093299,8.50226363846845,1,0,15326,0,0,0.00218481118891174
6.29999999999999,0.1,6.33663478541801,9.94583460245304,0,1,17414.3,1,0,1.08733952008754
6.19999999999999,0.1,5.8997047013218,9.22515244002984,1,0,17420,0,0,0.0587991424222659
3.9,0.1,4.74810157382838,6.99130603870439,1,0,17587,1,0,6.48219146187611
4.2,0.1,4.26513692558481,5.158630017217,0,1,18954.9,1,0,3.94008961023434e-15
3,0.1,3.04804245975775,7.8149814756756,0,1,19774.8,1,0,6.46576952338577e-06
6.29999999999999,0.1,10.0441138749814,6.18805766589077,1,0,20449,1,0,0.223231010604447
8.09999999999999,0.1,9.00006933616253,9.76494007494862,1,0,22486,1,0,3.41488688777393e-14
6.19999999999999,0.1,7.01509599667077,8.52481585665335,1,0,22711,1,0,0.0282815813782813
8.79999999999998,0.1,9.90505393274596,5.57670280248334,1,0,24148,0,0,0.116610304750796
5.8,0.1,5.53620947568268,7.05879470755117,1,0,24652,0,0,0.384000202490996
5.2,0.1,3.78597122710865,9.90290588603527,1,0,25220,0,0,5.43739816463035e-12
5.99999999999999,0.1,4.1234717359744,9.46837161527701,1,0,26222,0,0,4.06877768121042e-11
6.29999999999999,0.1,6.36053333503684,9.49173094988203,0,1,26546.2,1,0,4.60763834595279e-08
2.8,0.1,2.84468744158138,5.56595053491432,0,1,26596.5,1,0,0.0971643408987869
5.1,0.1,6.96298227550616,9.44684990236063,1,0,27143,0,0,1.47478236731534
5.7,0.1,8.01381297846745,6.52164781957267,1,0,27821,1,0,2.83067730020481e-18
6.49999999999999,0.1,5.37792956035753,6.59762646318898,1,0,29056,0,0,0.175321855123224
4,0.1,4.64122475520369,5.96066947559018,1,0,30043,1,0,0.000281489855207683
4.6,0.1,6.88058691323351,7.6759399629102,1,0,30949,1,0,2.38403839274559
5.99999999999999,0.1,6.03402793043522,6.9767629118057,0,1,30952,1,0,7.97126040957158e-13
5.99999999999999,0.1,5.65588753664202,8.54823564833991,1,0,30956,0,0,2.81169510772856e-12
12.2,0.1,14.718055878006,6.24895891910069,1,0,33706,0,0,0.019933408780934
4.9,0.1,6.31312054716794,9.6820049273536,1,0,34777,0,0,0.0133079786237917
5.4,0.1,5.27497030147264,9.50362978081245,1,0,36931,0,0,4.11644815632784e-06
5.3,0.1,7.02219061088159,8.39641483072437,1,0,38070,1,0,1.54846213097726e-11
8.59999999999999,0.1,12.8483155040139,7.75395621692374,1,0,38566,1,0,4.14609208197705e-06
5,0.1,5.93211793558519,8.03367736622859,1,0,41465,1,0,0.791789309293015
5.7,0.1,5.75266120282932,7.31337729339835,0,1,42794.7,1,0,1.2018761092025
4.5,0.1,3.51573238954901,9.08729814150821,1,0,44074,0,0,1.06070438856645
2.9,0.1,2.9623760167519,5.28874968952265,0,1,44075.5,1,0,1.5165765535884e-06
2.6,0.1,2.62285313526966,9.18849933322636,0,1,45901.4,1,0,0.00474094103655364
5.6,0.1,5.99580769564331,7.92027728561892,1,0,46117,1,0,1.47366794742981e-09
